"BLOCK","TRANSECT","METER","BC","x","y"
20,NA,2.83,0.800192101453205,-2,-2
20,NA,3.61,0.810459108032153,-2,-3
20,NA,3.16,0.804535835005837,-3,-1
20,NA,3.61,0.810459108032153,-3,-2
20,NA,4.24,0.818751690268996,-3,-3
20,NA,1.41,0.781500884347941,-1,1
20,NA,2.24,0.792426032374257,-1,2
20,NA,3.16,0.804535835005837,-1,3
20,NA,2.24,0.792426032374257,-2,1
20,NA,2.83,0.800192101453205,-2,2
20,NA,3.61,0.810459108032153,-2,3
20,NA,3.16,0.804535835005837,-3,1
20,NA,3.61,0.810459108032153,-3,2
20,NA,4.24,0.818751690268996,-3,3
37,NA,1.41,0.760083028573861,1,1
37,NA,2.24,0.771008176600177,1,2
37,NA,3.16,0.783117979231757,1,3
37,NA,2.24,0.771008176600177,2,1
37,NA,2.83,0.778774245679125,2,2
37,NA,3.61,0.789041252258073,2,3
37,NA,3.16,0.783117979231757,3,1
37,NA,3.61,0.789041252258073,3,2
37,NA,4.24,0.797333834494916,3,3
37,NA,1.41,0.760083028573861,1,-1
37,NA,2.24,0.771008176600177,1,-2
37,NA,3.16,0.783117979231757,1,-3
37,NA,2.24,0.771008176600177,2,-1
37,NA,2.83,0.778774245679125,2,-2
37,NA,3.61,0.789041252258073,2,-3
37,NA,3.16,0.783117979231757,3,-1
37,NA,3.61,0.789041252258073,3,-2
37,NA,4.24,0.797333834494916,3,-3
37,NA,1.41,0.760083028573861,-1,-1
37,NA,2.24,0.771008176600177,-1,-2
37,NA,3.16,0.783117979231757,-1,-3
37,NA,2.24,0.771008176600177,-2,-1
37,NA,2.83,0.778774245679125,-2,-2
37,NA,3.61,0.789041252258073,-2,-3
37,NA,3.16,0.783117979231757,-3,-1
37,NA,3.61,0.789041252258073,-3,-2
37,NA,4.24,0.797333834494916,-3,-3
37,NA,1.41,0.760083028573861,-1,1
37,NA,2.24,0.771008176600177,-1,2
37,NA,3.16,0.783117979231757,-1,3
37,NA,2.24,0.771008176600177,-2,1
37,NA,2.83,0.778774245679125,-2,2
37,NA,3.61,0.789041252258073,-2,3
37,NA,3.16,0.783117979231757,-3,1
37,NA,3.61,0.789041252258073,-3,2
37,NA,4.24,0.797333834494916,-3,3
38,NA,1.41,0.601475123652297,1,1
38,NA,2.24,0.612400271678614,1,2
38,NA,3.16,0.624510074310193,1,3
38,NA,2.24,0.612400271678614,2,1
38,NA,2.83,0.620166340757561,2,2
38,NA,3.61,0.630433347336509,2,3
38,NA,3.16,0.624510074310193,3,1
38,NA,3.61,0.630433347336509,3,2
38,NA,4.24,0.638725929573352,3,3
38,NA,1.41,0.601475123652297,1,-1
38,NA,2.24,0.612400271678614,1,-2
38,NA,3.16,0.624510074310193,1,-3
38,NA,2.24,0.612400271678614,2,-1
38,NA,2.83,0.620166340757561,2,-2
38,NA,3.61,0.630433347336509,2,-3
38,NA,3.16,0.624510074310193,3,-1
38,NA,3.61,0.630433347336509,3,-2
38,NA,4.24,0.638725929573352,3,-3
38,NA,1.41,0.601475123652297,-1,-1
38,NA,2.24,0.612400271678614,-1,-2
38,NA,3.16,0.624510074310193,-1,-3
38,NA,2.24,0.612400271678614,-2,-1
38,NA,2.83,0.620166340757561,-2,-2
38,NA,3.61,0.630433347336509,-2,-3
38,NA,3.16,0.624510074310193,-3,-1
38,NA,3.61,0.630433347336509,-3,-2
38,NA,4.24,0.638725929573352,-3,-3
38,NA,1.41,0.601475123652297,-1,1
38,NA,2.24,0.612400271678614,-1,2
38,NA,3.16,0.624510074310193,-1,3
38,NA,2.24,0.612400271678614,-2,1
38,NA,2.83,0.620166340757561,-2,2
38,NA,3.61,0.630433347336509,-2,3
38,NA,3.16,0.624510074310193,-3,1
38,NA,3.61,0.630433347336509,-3,2
38,NA,4.24,0.638725929573352,-3,3
